Região	Sexo	Branca	Preta	Amarela	Parda	Indígena	Sem Resposta	Total	branca	preta	amarela	parda	indígena	sem resposta	Total (%)	Pretos & Pardos (%)	Latitude	Longitude
Brasil	Total	50318	25854	705	82751	362	107	160097	31	16	0	52	0	0	100	68	-16	-48
Norte	Total	518	390	28	4433	41	4	5414	10	7	1	82	1	0	100	89	-3	-60
Nordeste	Total	2240	3387	119	14520	58	10	20334	11	17	1	71	0	0	100	88	-13	-39
Centro-Oeste	Total	2050	1473	65	7576	37	2	11203	18	13	1	68	0	0	100	81	-17	-49
Sudeste	Total	32519	17878	405	49248	138	71	100259	32	18	0	49	0	0	100	67	-20	-44
Sul	Total	12991	2726	88	6974	88	20	22887	57	12	0	30	0	0	100	42	-30	-51
Minas Gerais	Total	3930	4116	98	10763	34	18	18959	21	22	1	57	0	0	100	78	-20	-44
Belo Horizonte	Total	1391	2055	41	5332	9	12	8840	16	23	0	60	0	0	100	84	-20	-44
Estado de São Paulo	Total	25368	9778	212	30246	77	47	65728	39	15	0	46	0	0	100	61	-24	-47
São Paulo	Total	12.893	5.913	131	17.370	33	27	36.367	35	16	0	48	0	0	100	64	-24	-47
Estado do Rio de Janeiro	Total	2785	3451	82	6524	20	5	12867	22	27	1	51	0	0	100	78	-23	-43
Rio de Janeiro	Total	1.620	2.264	66	4.110	14	2	8.076	20	28	1	51	0	0	100	79	-23	-43
Espírito Santo	Total	436	533	13	1715	7	1	2705	16	20	0	63	0	0	100	83	-20	-40
Vitória	Total	76	114	2	311	1	1	505	15	23	0	62	0	0	100	84	-20	-40
Acre	Total	18	16	1	138	1	1	175	10	9	1	79	1	1	100	88	-10	-68
Rio Branco	Total	14	15	1	120	1	1	152	9	10	1	79	1	1	100	89	-10	-68
Amapá	Total	7	7	0	40	0	0	54	13	13	0	74	0	0	100	87		-51
Macapá	Total	5	6	0	33	0	0	44	11	14	0	75	0	0	100	89		-51
Amazonas	Total	65	53	4	872	6	1	1.001	6	5	0	87	1	0	100	92	-3	-60
Manaus	Total	61	46	4	767	6	1	885	7	5	0	87	1	0	100	92	-3	-60
Pará	Total	133	99	7	1.084	26	2	1.351	10	7	1	80	2	0	100	88	-1	-48
Belém	Total	35	34	1	313	3	1	387	9	9	0	81	1	0	100	90	-1	-48
Rondônia	Total	47	27	2	210	0	0	286	16	9	1	73	0	0	100	83	-9	-64
Porto Velho	Total	16	11	0	114	0	0	141	11	8	0	81	0	0	100	89	-9	-64
Roraima	Total	219	142	10	1.951	8	0	2.330	9	6	0	84	0	0	100	90	3	-61
Boa Vista	Total	215	133	10	1.914	8	0	2.280	9	6	0	84	0	0	100	90	3	-61
Tocantins	Total	29	46	4	138	0	0	217	13	21	2	64	0	0	100	85	-10	-48
Palmas	Total	14	21	1	77	0	0	113	12	19	1	68	0	0	100	87	-10	-48
Alagoas	Total	100	95	5	823	4	2	1.029	10	9	0	80	0	0	100	89	-10	-36
Maceió	Total	49	37	1	448	0	1	536	9	7	0	84	0	0	100	90	-10	-36
Bahia	Total	389	1.782	19	3.554	12	1	5.757	7	31	0	62	0	0	100	93	-13	-39
Salvador	Total	147	1.228	8	1.814	4	1	3.202	5	38	0	57	0	0	100	95	-13	-39
Ceará	Total	781	589	49	4.526	7	1	5.953	13	10	1	76	0	0	100	86	-4	-39
Fortaleza	Total	596	482	42	2.799	3	1	3.923	15	12	1	71	0	0	100	84	-4	-39
Maranhão	Total	120	205	11	1.142	16	2	1.496	8	14	1	76	1	0	100	90	-3	-44
São Luís	Total	73	160	9	711	6	2	961	8	17	1	74	1	0	100	91	-3	-44
Paraíba	Total	80	60	4	431	4	1	580	14	10	1	74	1	0	100	85	-7	-35
João Pessoa	Total	12	21	1	140	3	0	177	7	12	1	79	2	0	100	91	-7	-35
Pernambuco	Total	387	328	13	1.860	9	2	2.599	15	13	1	72	0	0	100	84	-8	-35
Recife	Total	135	137	5	665	0	1	943	14	15	1	71	0	0	100	85	-8	-35
Piauí	Total	62	69	2	552	0	0	685	9	10	0	81	0	0	100	91	-5	-43
Teresina	Total	42	43	2	368	0	0	455	9	9	0	81	0	0	100	90	-5	-43
Rio Grande do Norte	Total	228	141	11	962	2	1	1.345	17	10	1	72	0	0	100	82	-6	-35
Natal	Total	137	90	3	503	0	0	733	19	12	0	69	0	0	100	81	-6	-35
Sergipe	Total	93	118	5	670	4	0	890	10	13	1	75	0	0	100	89	-11	-37
Aracaju	Total	58	93	3	498	4	0	656	9	14	0	76	1	0	100	90	-11	-37
Mato Grosso	Total	482	311	18	1.815	5	0	2.631	18	12	1	69	0	0	100	81	-16	-56
Cuiabá	Total	100	76	7	472	1	0	656	15	12	1	72	0	0	100	84	-16	-56
Mato Grosso do Sul	Total	327	136	12	715	12	1	1.203	27	11	1	59	1	0	100	71	-20	-55
Campo Grande	Total	160	74	8	303	2	1	548	29	14	1	55	0	0	100	69	-20	-55
Distrito Federal	Total	837	718	21	3.135	15	1	4.727	18	15	0	66	0	0	100	82	-16	-48
Brasília	Total	837	718	21	3.135	15	1	4.727	18	15	0	66	0	0	100	82	-16	-48
Goiás	Total	837	718	21	3.135	15	1	4.727	18	15	0	66	0	0	100	82	-17	-49
Goiânia	Total	168	155	10	822	0	0	1.155	15	13	1	71	0	0	100	85	-17	-49
Paraná	Total	4.925	909	40	3.642	29	5	9.550	52	10	0	38	0	0	100	48	-25	-49
Curitiba	Total	1.612	248	14	953	3	2	2.832	57	9	0	34	0	0	100	42	-25	-49
Santa Catarina	Total	3.486	533	23	1.599	20	10	5.671	61	9	0	28	0	0	100	38	-28	-49
Florianópolis	Total	729	163	5	343	3	7	1.250	58	13	0	27	0	1	100	40	-28	-49
Rio Grande do Sul	Total	4.580	1.284	25	1.733	39	5	7.666	60	17	0	23	1	0	100	39	-30	-51
Porto Alegre	Total	1.003	529	9	504	22	1	2.068	49	26	0	24	1	0	100	50	-30	-51